Language,LanguageCode,VoiceName,Gender,GenerativeVoice,LongFormVoice,NeuralVoice,StandardVoice,Newscaster,Bilingual,amazon_voice_engine,Response
English (Australian),en-AU,Nicole,Female,No,No,No,Yes,,,standard,"Hello. My name is Nicole and I speak with a Female voice with an English (Australian) accent. Set your settings to: VoiceId='Nicole', Engine='standard' to use my voice. Amazon Polly standard voices are available in all 22 Amazon Polly AWS Regions."
English (Australian),en-AU,Olivia,Female,No,No,Yes,No,,,neural,"Hello. My name is Olivia and I speak with a Female voice with an English (Australian) accent. Set your settings to: VoiceId='Olivia', Engine='neural' to use my voice. Amazon Polly Neural voices aren't available in all AWS Regions, so be sure to select an appropriate region to hear me."
English (Australian),en-AU,Russell,Male,No,No,No,Yes,,,standard,"Hello. My name is Russell and I speak with a Male voice with an English (Australian) accent. Set your settings to: VoiceId='Russell', Engine='standard' to use my voice. Amazon Polly standard voices are available in all 22 Amazon Polly AWS Regions."
English (British),en-GB,Amy,Female,Yes,No,Yes,Yes,Yes,,standard,"Hello. My name is Amy and I speak with a Female voice with an English (British) accent. Set your settings to: VoiceId='Amy', Engine='standard' to use my voice. Amazon Polly standard voices are available in all 22 Amazon Polly AWS Regions."
English (British),en-GB,Amy,Female,Yes,No,Yes,Yes,Yes,,standard,"Hello. My name is Amy and I speak with a Female voice with an English (British) accent. Set your settings to: VoiceId='Amy', Engine='standard' to use my voice. Amazon Polly standard voices are available in all 22 Amazon Polly AWS Regions."
English (British),en-GB,Emma,Female,No,No,Yes,Yes,,,standard,"Hello. My name is Emma and I speak with a Female voice with an English (British) accent. Set your settings to: VoiceId='Emma', Engine='standard' to use my voice. Amazon Polly standard voices are available in all 22 Amazon Polly AWS Regions."
English (British),en-GB,Emma,Female,No,No,Yes,Yes,,,neural,"Hello. My name is Emma and I speak with a Female voice with an English (British) accent. Set your settings to: VoiceId='Emma', Engine='neural' to use my voice. Amazon Polly Neural voices aren't available in all AWS Regions, so be sure to select an appropriate region to hear me."
English (British),en-GB,Brian,Male,No,No,Yes,Yes,,,standard,"Hello. My name is Brian and I speak with a Male voice with an English (British) accent. Set your settings to: VoiceId='Brian', Engine='standard' to use my voice. Amazon Polly standard voices are available in all 22 Amazon Polly AWS Regions."
English (British),en-GB,Brian,Male,No,No,Yes,Yes,,,neural,"Hello. My name is Brian and I speak with a Male voice with an English (British) accent. Set your settings to: VoiceId='Brian', Engine='neural' to use my voice. Amazon Polly Neural voices aren't available in all AWS Regions, so be sure to select an appropriate region to hear me."
English (British),en-GB,Arthur,Male,No,No,Yes,No,,,neural,"Hello. My name is Arthur and I speak with a Male voice with an English (British) accent. Set your settings to: VoiceId='Arthur', Engine='neural' to use my voice. Amazon Polly Neural voices aren't available in all AWS Regions, so be sure to select an appropriate region to hear me."
English (Indian),en-IN,Aditi,Female,No,No,No,Yes,,Yes,standard,"Hello. My name is Aditi and I speak with a Female voice with an English (Indian) accent. Set your settings to: VoiceId='Aditi', Engine='standard' to use my voice. Amazon Polly standard voices are available in all 22 Amazon Polly AWS Regions. I'm bilingual and can speak English and Hindi."
English (Indian),en-IN,Raveena,Female,No,No,No,Yes,,,standard,"Hello. My name is Aditi and I speak with a Female voice with an English (Indian) accent. Set your settings to: VoiceId='Aditi', Engine='standard' to use my voice. Amazon Polly standard voices are available in all 22 Amazon Polly AWS Regions. I'm bilingual and can speak English and Hindi."
English (Indian),en-IN,Kajal,Female,No,No,Yes,No,,Yes,neural,"Hello. My name is Kajal and I speak with a Female voice with an English (Indian) accent. Set your settings to: VoiceId='Kajal', Engine='neural' to use my voice. Amazon Polly Neural voices aren't available in all AWS Regions, so be sure to select an appropriate region to hear me."
English (Ireland),en-IE,Niamh,Female,No,No,Yes,No,,,neural,"Hello. My name is Niamh and I speak with a Female voice with an English (Ireland) accent. Set your settings to: VoiceId='Niamh', Engine='neural' to use my voice. Amazon Polly Neural voices aren't available in all AWS Regions, so be sure to select an appropriate region to hear me."
English (New Zealand),en-NZ,Aria,Female,No,No,Yes,No,,,neural,"Hello. My name is Aria and I speak with a Female voice with an English (New Zealand) accent. Set your settings to: VoiceId='Aria', Engine='neural' to use my voice. Amazon Polly Neural voices aren't available in all AWS Regions, so be sure to select an appropriate region to hear me."
